dataset_id,site_name,site_property,value
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas..",locality,"CULTIVATED Albury Botanic Gardens.Original location 10 km SW of Bicheno, Tas.."
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",latitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",longitude (deg),NA
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",collector,"Edwards, D."
ANBG_2019,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic.",locality,"CULTIVATED Albury Botanic Gardens.Original location Stawell, Vic."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",collector,ANBG Nursery
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collec",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery permanent pot collection."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",collector,"McAuliffe, J."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; nursery."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",collector,"North, T.G."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra; section 189."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",collector,"Donaldson, S."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Canberra.",locality,"CULTIVATED Australian National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152.",locality,"CULTIVATED Australian National Botanic Gardens, Nursery, no. 8703152."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",collector,ANBG
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155.",locality,"CULTIVATED Australian National Botanic Gardens, permanent pots, ex 90062155."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",collector,ANBG
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, permanent pots.",locality,"CULTIVATED Australian National Botanic Gardens, permanent pots."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220.",locality,"CULTIVATED Australian National Botanic Gardens, sect. 4, no. 8602220."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",latitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",longitude (deg),NA
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",collector,"Donaldson, S."
ANBG_2019,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344.",locality,"CULTIVATED Australian National Botanic Gardens, Section 183a, as per CBG 8503344."
ANBG_2019,CULTIVATED Brunswick East.,latitude (deg),NA
ANBG_2019,CULTIVATED Brunswick East.,longitude (deg),NA
ANBG_2019,CULTIVATED Brunswick East.,collector,"Scarlett, N.H."
ANBG_2019,CULTIVATED Brunswick East.,locality,CULTIVATED Brunswick East.
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",latitude (deg),NA
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",longitude (deg),NA
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",collector,"Woodburn - CSIRO, T."
ANBG_2019,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John",locality,"CULTIVATED CSIRO, Division of Entomology - Canberra. Original plant collected by John Swarbrick QMO, Mt Gowrie, Warrego Hwy, 10 km WNW of Toowoomba. These plants are progeny of the original collection."
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",latitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",longitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",collector,"Cayzer, L.W."
ANBG_2019,"CULTIVATED Kings Park and Botanic Garden, rare and endangered garden.",locality,"CULTIVATED Kings Park and Botanic Gardens, rare and endangered garden."
ANBG_2019,"CULTIVATED Kings Park, Perth.",latitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park, Perth.",longitude (deg),NA
ANBG_2019,"CULTIVATED Kings Park, Perth.",collector,ANBG
ANBG_2019,"CULTIVATED Kings Park, Perth.",locality,"CULTIVATED Kings Park, Perth."
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",collector,"Crisp, M.D."
ANBG_2019,"CULTIVATED National Botanic Garden, Canberra.",locality,"CULTIVATED National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",collector,"Thompson, H."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra, Section 4.",locality,"CULTIVATED National Botanic Gardens, Canberra, Section 4."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",latitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",longitude (deg),NA
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",collector,"Verdon, D."
ANBG_2019,"CULTIVATED National Botanic Gardens, Canberra.",locality,"CULTIVATED National Botanic Gardens, Canberra."
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",latitude (deg),NA
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",longitude (deg),NA
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",collector,ANBG Nursery
ANBG_2019,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA.",locality,"CULTIVATED Purchased from Nindethana Seed Service Pty Ltd, WA."
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",latitude (deg),NA
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",longitude (deg),NA
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",collector,"Golson, T."
ANBG_2019,"Donated by Debbie Downes of Wollongong Botanic Garden, to the Australian National Bota",locality,"Donated by Debbie Downes of Wollongong Botanic Gardens, to the Australian National Botanic Gardens, Canberra."
ANBG_2019,No locality given.,latitude (deg),NA
ANBG_2019,No locality given.,longitude (deg),NA
ANBG_2019,No locality given.,collector,"Edwards, D."
ANBG_2019,No locality given.,locality,No locality given.
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",latitude (deg),NA
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",longitude (deg),NA
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",collector,"Schweickle, L."
ANBG_2019,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans F",locality,"Probably collected from Scottsdale Bush Heritage Reserve, NSW (as LS46) or Mulligans Flat, ACT (as LS48). Details to be entered when field book submitted; ANHSIR entry created in advance for ANBG seedbank."
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,latitude (deg),NA
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,longitude (deg),NA
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,collector,"Golson, T."
ANBG_2019,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ,locality,Received from Whitsunday Catchment Landcare (Queensland propagator licence number WIPQ 2869605).
ANBG_2019,"Royal Botanic Gardens, Sydney.",latitude (deg),NA
ANBG_2019,"Royal Botanic Gardens, Sydney.",longitude (deg),NA
ANBG_2019,"Royal Botanic Gardens, Sydney.",collector,"Golson, T."
ANBG_2019,"Royal Botanic Gardens, Sydney.",locality,"Royal Botanic Gardens, Sydney."
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,latitude (deg),NA
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,longitude (deg),NA
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,collector,"Browne, J.H."
ANBG_2019,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Mino,locality,Side of track south of Sunset Country Reference Area 12A. 35 km south of Bambill. Minor Grid A40.
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,latitude (deg),-10.4803
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,longitude (deg),105.6419
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-10.4803_degS_and_105.6419_degE,locality,Christmas Island; 800 m W from Jedah Cave towards Murray Road.
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,latitude (deg),-12.3833
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.3833_degS_and_132.95_degE,locality,"Kakadu National Park, Obiri Rock."
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,latitude (deg),-12.4
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4_degS_and_132.95_degE,locality,"Kakadu National Park, Obiri Rock track, 4 km NW of East Alligator River crossing of Oenpelli Road."
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,latitude (deg),-12.4167
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,longitude (deg),132.95
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4167_degS_and_132.95_degE,locality,"Kakadu National Park, 2 km along Obiri Rock track from Oenpelli road."
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,latitude (deg),-12.4833
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,longitude (deg),132.8833
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.4833_degS_and_132.8833_degE,locality,14 km from East Alligator River crossing on Oenpelli road towards Arnhem Highway.
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,latitude (deg),-12.5
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,longitude (deg),132.9
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.5_degS_and_132.9_degE,locality,19 km from Arnhem Highway along Oenpelli road.
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,latitude (deg),-12.58
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,longitude (deg),132.9736
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.58_degS_and_132.9736_degE,locality,Kakadu National Park; 12.74 km NE of Jabiru Airport; Northern Outliers.
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,latitude (deg),-12.5806
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,longitude (deg),132.9736
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5806_degS_and_132.9736_degE,locality,Kakadu National Park; 12.74 km NE of Jabiru Airport; Northern Outliers.
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,latitude (deg),-12.5839
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,longitude (deg),132.9919
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5839_degS_and_132.9919_degE,locality,"Kakadu National Park; Northern Outliers; 6 km N of Jabiru, fire plot 144. Coordinates given plot 13.5 km NE of Jabiru airport and c. 20 km ~ENE from Jabiru."
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,latitude (deg),-12.5844
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,longitude (deg),132.9922
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.5844_degS_and_132.9922_degE,locality,"Kakadu National Park; fire plot 144, (c. 19 km ~ENE of Jabiru)."
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,latitude (deg),-12.7622
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,longitude (deg),132.6606
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.7622_degS_and_132.6606_degE,locality,"Kakadu National Park; Nourlangie Camp, Unlaar (Anlarrh)."
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,latitude (deg),-12.7686
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,longitude (deg),132.6628
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.7686_degS_and_132.6628_degE,locality,"Kakadu National Park; Nourlangie camp, Unlaar."
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,latitude (deg),-12.8092
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,longitude (deg),132.9047
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8092_degS_and_132.9047_degE,locality,"Kakadu National Park; at 53,272584,8583035 (c. 17 km ~SSE of Jabiru)."
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,latitude (deg),-12.8106
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,longitude (deg),132.9044
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-12.8106_degS_and_132.9044_degE,locality,"Kakadu National Park. On sandstone plateau near Mount Brockman, c. 16.83 km south from Jabiru air strip or 12.31 km north east from Nourlangie Rock."
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,latitude (deg),-12.8333
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,longitude (deg),132.8667
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.8333_degS_and_132.8667_degE,locality,"Kakadu National Park, 2.5 km NW of Koongarra Saddle."
ANBG_2019,site_at_-12.8356_degS_and_132.8511_degE,latitude (deg),-12.8356
ANBG_2019,site_at_-12.8356_degS_and_132.8511_degE,longitude (deg),132.8511
ANBG_2019,site_at_-12.8356_degS_and_132.8511_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-12.8356_degS_and_132.8511_degE,locality,Kakadu National Park. 800 m west of Gubara carpark.
ANBG_2019,site_at_-12.8367_degS_and_132.8511_degE,latitude (deg),-12.8367
ANBG_2019,site_at_-12.8367_degS_and_132.8511_degE,longitude (deg),132.8511
ANBG_2019,site_at_-12.8367_degS_and_132.8511_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8367_degS_and_132.8511_degE,locality,Kakadu National Park; Gubara Rocks area.
ANBG_2019,site_at_-12.8492_degS_and_132.8594_degE,latitude (deg),-12.8492
ANBG_2019,site_at_-12.8492_degS_and_132.8594_degE,longitude (deg),132.8594
ANBG_2019,site_at_-12.8492_degS_and_132.8594_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8492_degS_and_132.8594_degE,locality,"Kakadu National Park; Koongarra, 3 km from locked gate, 100 m W of vehicle track."
ANBG_2019,site_at_-12.8494_degS_and_132.8619_degE,latitude (deg),-12.8494
ANBG_2019,site_at_-12.8494_degS_and_132.8619_degE,longitude (deg),132.8619
ANBG_2019,site_at_-12.8494_degS_and_132.8619_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8494_degS_and_132.8619_degE,locality,"Kakadu National Park; Koongarra, 3 km from locked gate, 100 m NE of vehicle track."
ANBG_2019,site_at_-12.85_degS_and_132.8667_degE,latitude (deg),-12.85
ANBG_2019,site_at_-12.85_degS_and_132.8667_degE,longitude (deg),132.8667
ANBG_2019,site_at_-12.85_degS_and_132.8667_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-12.85_degS_and_132.8667_degE,locality,"Koongarra Saddle, Kakadu."
ANBG_2019,site_at_-12.8533_degS_and_132.865_degE,latitude (deg),-12.8533
ANBG_2019,site_at_-12.8533_degS_and_132.865_degE,longitude (deg),132.865
ANBG_2019,site_at_-12.8533_degS_and_132.865_degE,collector,"North, T.G."
ANBG_2019,site_at_-12.8533_degS_and_132.865_degE,locality,"Kakadu National Park; Koongarra, 3 km from locked gate, c. 500 m E of vehicle track."
ANBG_2019,site_at_-12.8833_degS_and_131.8833_degE,latitude (deg),-12.8833
ANBG_2019,site_at_-12.8833_degS_and_131.8833_degE,longitude (deg),131.8833
ANBG_2019,site_at_-12.8833_degS_and_131.8833_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-12.8833_degS_and_131.8833_degE,locality,32 km from Mary River crossing on Arnhem Highway towards Jabiru.
ANBG_2019,site_at_-13.1106_degS_and_132.9761_degE,latitude (deg),-13.1106
ANBG_2019,site_at_-13.1106_degS_and_132.9761_degE,longitude (deg),132.9761
ANBG_2019,site_at_-13.1106_degS_and_132.9761_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.1106_degS_and_132.9761_degE,locality,Kakadu National Park; 4 km S of Deaf Adder Gorge.
ANBG_2019,site_at_-13.28_degS_and_132.5447_degE,latitude (deg),-13.28
ANBG_2019,site_at_-13.28_degS_and_132.5447_degE,longitude (deg),132.5447
ANBG_2019,site_at_-13.28_degS_and_132.5447_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.28_degS_and_132.5447_degE,locality,Kakadu National Park; 40 km SE Jabiru; 3 km S of Graveside Gorge carpark; Graveside Gorge.
ANBG_2019,site_at_-13.2839_degS_and_132.5422_degE,latitude (deg),-13.2839
ANBG_2019,site_at_-13.2839_degS_and_132.5422_degE,longitude (deg),132.5422
ANBG_2019,site_at_-13.2839_degS_and_132.5422_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.2839_degS_and_132.5422_degE,locality,Kakadu National Park; 40 km SE Jabiru; 3 km S of Graveside Gorge carpark; Graveside Gorge.
ANBG_2019,site_at_-13.3153_degS_and_132.8703_degE,latitude (deg),-13.3153
ANBG_2019,site_at_-13.3153_degS_and_132.8703_degE,longitude (deg),132.8703
ANBG_2019,site_at_-13.3153_degS_and_132.8703_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.3153_degS_and_132.8703_degE,locality,Kakadu National Park; c. 5 km SE of Jim Jim Falls.
ANBG_2019,site_at_-13.4325_degS_and_132.4161_degE,latitude (deg),-13.4325
ANBG_2019,site_at_-13.4325_degS_and_132.4161_degE,longitude (deg),132.4161
ANBG_2019,site_at_-13.4325_degS_and_132.4161_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.4325_degS_and_132.4161_degE,locality,Kakadu National Park; Gunlom plunge pool.
ANBG_2019,site_at_-13.4847_degS_and_132.2553_degE,latitude (deg),-13.4847
ANBG_2019,site_at_-13.4847_degS_and_132.2553_degE,longitude (deg),132.2553
ANBG_2019,site_at_-13.4847_degS_and_132.2553_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-13.4847_degS_and_132.2553_degE,locality,"Kakadu National Park. Ca 14 km NNW (straightline) of Mary River Road House on Kakadu Highway, about 100 m east in from highway."
ANBG_2019,site_at_-13.4933_degS_and_132.4786_degE,latitude (deg),-13.4933
ANBG_2019,site_at_-13.4933_degS_and_132.4786_degE,longitude (deg),132.4786
ANBG_2019,site_at_-13.4933_degS_and_132.4786_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.4933_degS_and_132.4786_degE,locality,Kakadu National Park; Gunlom and Koolpin T-junction. Ca 23 km directly ~ENE of Kakadu southern entry and ranger station.
ANBG_2019,site_at_-13.4981_degS_and_132.58_degE,latitude (deg),-13.4981
ANBG_2019,site_at_-13.4981_degS_and_132.58_degE,longitude (deg),132.58
ANBG_2019,site_at_-13.4981_degS_and_132.58_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.4981_degS_and_132.58_degE,locality,"Kakadu National Park; Koolpin Gorge, Pink Pool."
ANBG_2019,site_at_-13.5169_degS_and_132.5761_degE,latitude (deg),-13.5169
ANBG_2019,site_at_-13.5169_degS_and_132.5761_degE,longitude (deg),132.5761
ANBG_2019,site_at_-13.5169_degS_and_132.5761_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.5169_degS_and_132.5761_degE,locality,Kakadu National Park; Koolpin. Between Koolpin Gorge track entrance and Koolpin Gorge (Jarrangbarnmi).
ANBG_2019,site_at_-13.5633_degS_and_132.2931_degE,latitude (deg),-13.5633
ANBG_2019,site_at_-13.5633_degS_and_132.2931_degE,longitude (deg),132.2931
ANBG_2019,site_at_-13.5633_degS_and_132.2931_degE,collector,"McAuliffe, J."
ANBG_2019,site_at_-13.5633_degS_and_132.2931_degE,locality,Kakadu National Park. In creek at Ferny Gully camp ground.
ANBG_2019,site_at_-13.5692_degS_and_132.4939_degE,latitude (deg),-13.5692
ANBG_2019,site_at_-13.5692_degS_and_132.4939_degE,longitude (deg),132.4939
ANBG_2019,site_at_-13.5692_degS_and_132.4939_degE,collector,"North, T.G."
ANBG_2019,site_at_-13.5692_degS_and_132.4939_degE,locality,Kakadu National Park; Northern Outliers.
ANBG_2019,site_at_-15.7833_degS_and_128.6833_degE,latitude (deg),-15.7833
ANBG_2019,site_at_-15.7833_degS_and_128.6833_degE,longitude (deg),128.6833
ANBG_2019,site_at_-15.7833_degS_and_128.6833_degE,collector,"Telford, I.R."
ANBG_2019,site_at_-15.7833_degS_and_128.6833_degE,locality,"Dunham River, at Duncan Highway bridge."
ANBG_2019,site_at_-16.0333_degS_and_130.8_degE,latitude (deg),-16.0333
ANBG_2019,site_at_-16.0333_degS_and_130.8_degE,longitude (deg),130.8
ANBG_2019,site_at_-16.0333_degS_and_130.8_degE,collector,"Briggs, J.D."
ANBG_2019,site_at_-16.0333_degS_and_130.8_degE,locality,1.6 km E of Jasper Ck bridge along Timber Creek -Victoria River Downs road.
ANBG_2019,site_at_-16.5_degS_and_145.4167_degE,latitude (deg),-16.5
ANBG_2019,site_at_-16.5_degS_and_145.4167_degE,longitude (deg),145.4167
ANBG_2019,site_at_-16.5_degS_and_145.4167_degE,collector,"Cayzer, L.W."
ANBG_2019,site_at_-16.5_degS_and_145.4167_degE,locality,"Cassowary Creek, S of Mossman towards Cairns, left-hand side cutting."
ANBG_2019,site_at_-16.5833_degS_and_150.3167_degE,latitude (deg),-16.5833
ANBG_2019,site_at_-16.5833_degS_and_150.3167_degE,longitude (deg),150.3167
ANBG_2019,site_at_-16.5833_degS_and_150.3167_degE,collector,"Donaldson, S."
ANBG_2019,site_at_-16.5833_degS_and_150.3167_degE,locality,Magdelaine Cay.
ANBG_2019,site_at_-16.9833_degS_and_149.8833_degE,latitude (deg),-16.9833
ANBG_2019,site_at_-16.9833_degS_and_149.8833_degE,longitude (deg),149.8833
